epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1019.44,0.72734,0.776,1.17889,0.39819,0.58794,0.4578,0.21916,1.53895,2.59201,2.08896,0.000552194,0.000552194,0.000552194
2,2122.71,0.73952,0.64038,1.15624,0.95659,0.93134,0.96783,0.77543,0.80865,0.76857,1.43938,0.00109689,0.00109689,0.00109689
3,3164.55,0.70204,0.58055,1.13494,0.84489,0.84177,0.90917,0.6539,0.96868,0.91396,1.54451,0.00163059,0.00163059,0.00163059
4,4278.2,0.67027,0.54371,1.10849,0.97062,0.9666,0.97285,0.78931,0.72892,0.46085,1.28264,0.00161749,0.00161749,0.00161749
5,5304.69,0.64414,0.50638,1.10189,0.94306,0.86641,0.94536,0.72394,0.83773,0.72573,1.33535,0.00160099,0.00160099,0.00160099
6,6324.45,0.63331,0.46333,1.09447,0.9685,0.95931,0.96656,0.78899,0.68187,0.48737,1.19204,0.00158448,0.00158448,0.00158448
7,7157.99,0.59158,0.43458,1.07496,0.98484,0.96862,0.97309,0.80912,0.69267,0.39637,1.21471,0.00156798,0.00156798,0.00156798
8,10128.2,0.57666,0.42954,1.05745,0.98805,0.97297,0.97291,0.81713,0.63001,0.33263,1.17201,0.00155148,0.00155148,0.00155148
9,10729.4,0.56432,0.39878,1.0568,0.98573,0.96748,0.97529,0.79527,0.67915,0.38179,1.22762,0.00153497,0.00153497,0.00153497
10,11331.5,0.55279,0.4007,1.05229,0.97315,0.96474,0.96256,0.79829,0.66701,0.38967,1.20426,0.00151847,0.00151847,0.00151847
11,11934.9,0.54235,0.38938,1.04341,0.98286,0.96738,0.96914,0.80749,0.66495,0.36299,1.22881,0.00150197,0.00150197,0.00150197
12,12543.8,0.52986,0.37635,1.03351,0.98471,0.97111,0.97656,0.81973,0.63732,0.35012,1.17108,0.00148546,0.00148546,0.00148546
13,13147.4,0.53137,0.38033,1.04123,0.97974,0.96768,0.97578,0.80676,0.65385,0.35659,1.22412,0.00146896,0.00146896,0.00146896
14,13755.9,0.51571,0.37296,1.03145,0.98295,0.97111,0.98254,0.82091,0.65405,0.37273,1.19248,0.00145246,0.00145246,0.00145246
15,14365.3,0.52675,0.37167,1.04459,0.99,0.96778,0.97114,0.80322,0.68946,0.38895,1.27275,0.00143595,0.00143595,0.00143595
16,14977.1,0.50119,0.35513,1.03306,0.97912,0.96931,0.98218,0.81277,0.68495,0.37291,1.24989,0.00141945,0.00141945,0.00141945
17,15594.1,0.49187,0.34832,1.02527,0.97885,0.95931,0.98418,0.81998,0.61855,0.34248,1.17394,0.00140295,0.00140295,0.00140295
18,16206.1,0.49842,0.35552,1.02624,0.95904,0.96498,0.97812,0.81146,0.62747,0.38806,1.1827,0.00138644,0.00138644,0.00138644
19,16820.1,0.48325,0.34008,1.02387,0.99241,0.96942,0.98131,0.84064,0.6187,0.34542,1.15432,0.00136994,0.00136994,0.00136994
20,17429.8,0.48844,0.34376,1.02167,0.98826,0.9696,0.9781,0.81726,0.65141,0.32097,1.22035,0.00135344,0.00135344,0.00135344
21,18042.7,0.47765,0.34179,1.01548,0.9846,0.97111,0.98032,0.81988,0.66073,0.3701,1.24219,0.00133693,0.00133693,0.00133693
22,18657.5,0.45113,0.32518,1.01591,0.99043,0.96931,0.97873,0.79907,0.69473,0.36413,1.27988,0.00132043,0.00132043,0.00132043
23,19271,0.46229,0.33326,1.01142,0.97931,0.9687,0.98305,0.81276,0.65897,0.35025,1.24788,0.00130393,0.00130393,0.00130393
24,19867.1,0.46642,0.32337,1.01266,0.96623,0.96004,0.97621,0.78606,0.66893,0.39087,1.2792,0.00128742,0.00128742,0.00128742
25,20478.3,0.44565,0.31618,1.00899,0.99796,0.97167,0.97787,0.8297,0.62472,0.34033,1.16608,0.00127092,0.00127092,0.00127092
26,21090.9,0.43818,0.31278,1.0036,0.98233,0.96536,0.97773,0.82212,0.62088,0.34678,1.18372,0.00125442,0.00125442,0.00125442
27,21686.6,0.42812,0.30957,1.00415,0.98186,0.97043,0.97851,0.83753,0.61334,0.32896,1.17776,0.00123791,0.00123791,0.00123791
28,22285.4,0.42761,0.3094,1.00011,0.97975,0.96924,0.97417,0.81193,0.66184,0.37505,1.25652,0.00122141,0.00122141,0.00122141
29,22884.5,0.41665,0.30218,0.99302,0.98999,0.96828,0.97978,0.83451,0.62177,0.32836,1.19049,0.00120491,0.00120491,0.00120491
30,23485,0.41611,0.31107,0.98949,0.9827,0.9682,0.97792,0.80366,0.6664,0.3687,1.26479,0.0011884,0.0011884,0.0011884
31,24084.7,0.41367,0.29326,0.99161,0.98549,0.97009,0.97832,0.81256,0.64684,0.34969,1.23061,0.0011719,0.0011719,0.0011719
32,24684.8,0.39301,0.28656,0.98687,0.99286,0.97111,0.97888,0.81512,0.65148,0.34051,1.2535,0.0011554,0.0011554,0.0011554
